Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-03-19,Food,Cash,Media night out rich that according.,483.19,0.0
2024-03-14,Food,Online,Economy participant now field.,327.68,0.0
2024-03-14,Entertainment,Online,Trial lose stage.,138.9,0.0
2024-03-17,Groceries,Online,Democratic worker occur section.,235.02,0.0
2024-03-20,Subscriptions,Cash,Bag kid require start explain.,439.02,21.95
2024-03-04,Subscriptions,Online,Positive run leave true.,368.41,0.0
2024-03-12,Bills,Online,Really risk minute seven.,329.76,0.0
2024-03-17,Bills,Cash,Article growth too charge buy.,429.97,21.5
2024-03-12,Transportation,Online,Dream them follow but.,458.71,0.0
2024-03-02,Travel,Cash,Manager together sport international her.,368.29,0.0
2024-03-16,Travel,Online,Method certain fine protect tough perhaps in.,76.93,3.85
2024-03-07,Bills,Online,War money score ability require have house.,185.15,0.0
2024-03-26,Groceries,Cash,Together pressure put look feel.,488.41,0.0
2024-03-13,Food,Cash,High at memory street.,316.57,0.0
2024-03-19,Bills,Online,Threat seek end he.,104.17,5.21
2024-03-17,Subscriptions,Cash,Give begin nice area rock.,434.86,0.0
2024-03-21,Travel,Cash,Institution seat officer various year senior.,187.66,0.0
2024-03-09,Groceries,Cash,Talk public wonder week majority prepare operation network.,140.23,7.01
2024-03-19,Entertainment,Online,Future way management once.,206.07,0.0
2024-03-22,Transportation,Cash,Occur behind party test administration he.,158.89,0.0
2024-03-16,Groceries,Cash,Business describe model such seek future.,455.48,0.0
2024-03-26,Travel,Cash,Drug bag chair officer network.,169.92,0.0
2024-03-27,Entertainment,Cash,While behavior you tree meet partner several.,395.29,0.0
2024-03-02,Food,Online,However arrive identify recent because.,54.18,0.0
2024-03-13,Transportation,Online,Certain national current response character.,253.58,12.68
2024-03-06,Entertainment,Cash,Cultural three draw share.,448.21,22.41
2024-03-26,Groceries,Online,Clearly room why yet.,53.51,0.0
2024-03-26,Bills,Online,Sense small imagine success.,51.42,2.57
2024-03-23,Entertainment,Cash,Least age say instead office tough nothing.,492.38,0.0
2024-03-19,Transportation,Cash,Recognize thing ball program time region character.,131.95,0.0
2024-03-01,Transportation,Cash,Central surface day vote its treat city.,470.87,0.0
2024-03-12,Food,Online,Month point foot situation college require imagine.,305.77,0.0
2024-03-03,Entertainment,Cash,To my yes somebody drug water.,256.58,12.83
2024-03-25,Subscriptions,Cash,Reduce wall history great dark.,389.73,0.0
2024-03-06,Subscriptions,Cash,Give power buy task.,259.11,0.0
2024-03-03,Groceries,Cash,Under thousand development send.,113.0,0.0
2024-03-14,Travel,Online,Weight focus rate for strategy attention.,159.58,0.0
2024-03-12,Transportation,Online,Toward shake manager artist throw term trial.,472.96,23.65
2024-03-10,Travel,Online,Yet goal four measure degree worker.,481.47,0.0
2024-03-04,Entertainment,Cash,Per agent back allow.,454.64,0.0
2024-03-07,Travel,Cash,Girl according trip.,111.88,0.0
2024-03-28,Subscriptions,Online,Particular road white line right.,483.8,0.0
2024-03-15,Entertainment,Cash,Machine campaign hard positive.,302.35,0.0
2024-03-04,Groceries,Online,Beat vote box oil of president.,412.43,20.62
2024-03-21,Entertainment,Cash,Visit quite theory challenge.,170.73,0.0
2024-03-05,Bills,Cash,Forget use behind mind.,480.6,0.0
2024-03-01,Transportation,Online,Dog head bit.,78.15,0.0
2024-03-13,Bills,Cash,Store hundred college company begin.,206.0,0.0
2024-03-24,Subscriptions,Online,Beyond fact discuss product itself.,250.26,0.0
2024-03-19,Bills,Online,Continue gun tell produce.,114.78,0.0
2024-03-14,Transportation,Cash,Sell popular morning argue stuff.,161.04,8.05
2024-03-10,Groceries,Cash,Else or peace current entire before.,365.01,0.0
2024-03-14,Bills,Online,Political clearly appear view fight easy decide.,272.73,0.0
2024-03-03,Entertainment,Cash,Few day dark general it result.,171.96,0.0
2024-03-23,Bills,Cash,Money six walk hard often bank nice long.,336.68,0.0
2024-03-16,Transportation,Online,Soon admit always benefit movement science hospital series.,218.48,0.0
2024-03-24,Subscriptions,Online,Second again yard.,442.4,22.12
2024-03-12,Travel,Cash,Black take well yeah name grow authority.,305.81,0.0
2024-03-24,Subscriptions,Online,Tree quickly measure sell report.,452.06,0.0
2024-03-17,Travel,Online,Me purpose heart account fire join nor history.,259.19,0.0
2024-03-09,Entertainment,Cash,Appear point join treatment low true hope.,483.56,24.18
2024-03-28,Travel,Cash,Yes still its rather clearly case.,234.49,0.0
2024-03-25,Transportation,Online,Which level all political.,375.17,0.0
2024-03-06,Transportation,Online,Picture spring former politics special.,320.63,0.0
2024-03-20,Travel,Cash,Floor together reduce floor.,402.26,0.0
2024-03-28,Transportation,Online,Will throw third grow look.,448.77,22.44
2024-03-25,Bills,Online,Alone design ten item bring who four us.,203.29,10.16
2024-03-08,Subscriptions,Online,Full special court close south.,99.06,0.0
2024-03-15,Subscriptions,Cash,Use nor hour hit certainly chair citizen.,199.9,0.0
2024-03-20,Groceries,Cash,Wife behind central instead do writer pass.,371.73,0.0
2024-03-18,Travel,Online,Significant life blue program.,138.32,0.0
2024-03-08,Bills,Online,School best example tax soon.,148.97,0.0
2024-03-28,Bills,Cash,Where even level popular like truth study half.,191.08,0.0
2024-03-12,Bills,Cash,Sign week interest become.,239.46,0.0
2024-03-08,Groceries,Cash,Wall matter once popular smile.,352.74,0.0
2024-03-22,Transportation,Online,Summer prepare office base central continue officer.,470.55,23.53
2024-03-07,Groceries,Online,School this then together.,75.07,0.0
2024-03-03,Groceries,Cash,Sign later such student tell gun water.,299.75,0.0
2024-03-24,Travel,Cash,Media dinner natural feeling movement.,43.37,0.0
2024-03-07,Bills,Online,Site defense always do.,17.16,0.86
2024-03-07,Groceries,Online,Minute night life will gun reality and.,402.12,20.11
2024-03-20,Food,Cash,City among stand director account idea teach.,331.1,0.0
2024-03-19,Transportation,Online,Kid lot home task.,451.68,22.58
2024-03-26,Entertainment,Online,Control red sort parent.,34.52,0.0
2024-03-24,Bills,Online,Develop left age international.,252.44,0.0
2024-03-18,Food,Cash,Center light positive election fish think.,448.2,0.0
2024-03-13,Subscriptions,Cash,Both country follow federal.,247.24,12.36
2024-03-12,Subscriptions,Cash,Space prepare health whom prove news single administration.,99.67,4.98
2024-03-05,Food,Online,Three side me outside picture one produce.,21.06,0.0
2024-03-03,Food,Online,Four three cause social human current.,343.47,0.0
2024-03-16,Entertainment,Cash,School trouble development focus give job could.,197.84,0.0
2024-03-03,Subscriptions,Online,Account heart ever story.,334.46,0.0
2024-03-01,Subscriptions,Online,Film country each read change maintain meet.,273.43,13.67
2024-03-26,Subscriptions,Cash,Quickly office do show know maintain.,86.17,4.31
2024-03-11,Food,Online,A probably fall southern bar information.,441.92,0.0
2024-03-14,Entertainment,Cash,Race son relate end.,220.92,11.05
2024-03-07,Travel,Online,Region black those mother listen water even.,80.13,0.0
2024-03-18,Subscriptions,Cash,Ago I response politics determine design agree well.,41.77,2.09
2024-03-17,Travel,Online,Throw meeting school could agency government.,14.94,0.0
2024-03-10,Food,Cash,Person system challenge team eight Republican.,434.65,21.73
