Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-12-07,Groceries,Online,Avoid bag alone hair.,325.79,0.0
2024-12-14,Food,Cash,Feel financial raise put move explain leg baby.,298.91,0.0
2024-12-22,Food,Cash,Over majority avoid draw.,361.87,0.0
2024-12-06,Bills,Online,Health social officer security when bring western toward.,486.3,0.0
2024-12-07,Groceries,Online,Large room scene smile glass over society.,482.66,0.0
2024-12-28,Transportation,Cash,Piece memory our quite word although both end.,265.03,0.0
2024-12-12,Bills,Cash,Hospital few they of offer star.,87.81,0.0
2024-12-15,Food,Cash,Suddenly fish adult space what fear.,298.31,14.92
2024-12-09,Subscriptions,Cash,My occur member.,353.81,0.0
2024-12-03,Entertainment,Online,Friend work young brother fire.,320.68,0.0
2024-12-27,Food,Cash,Drug similar behavior worry news.,317.79,0.0
2024-12-09,Food,Online,Moment cold few.,249.11,0.0
2024-12-25,Subscriptions,Online,Tonight keep power next message show.,153.47,0.0
2024-12-17,Travel,Online,Save thank best capital lot.,343.82,0.0
2024-12-19,Food,Online,Now answer hour parent.,433.49,0.0
2024-12-24,Transportation,Cash,Sign resource today edge east page.,331.87,0.0
2024-12-27,Food,Cash,Crime suggest change institution institution position send.,497.36,24.87
2024-12-28,Entertainment,Cash,Sound story agree capital.,279.43,13.97
2024-12-26,Groceries,Cash,Writer rich professor support food response those miss.,344.16,0.0
2024-12-02,Bills,Online,Involve player certain pass human.,124.37,0.0
2024-12-24,Subscriptions,Online,Summer add defense chair traditional scene light.,370.31,18.52
2024-12-11,Transportation,Online,Exactly door too his expert particular find.,131.54,6.58
2024-12-01,Subscriptions,Cash,Threat arm energy charge rise history within address.,145.77,0.0
2024-12-13,Groceries,Online,Set candidate establish call believe possible condition.,53.95,0.0
2024-12-11,Transportation,Online,Character themselves cup approach nice four.,372.01,0.0
2024-12-10,Groceries,Online,Other social east campaign fine market parent.,320.93,16.05
2024-12-26,Food,Cash,Rather face recognize if stuff difference determine.,491.56,0.0
2024-12-11,Groceries,Online,Do law move little same image.,246.31,12.32
2024-12-11,Transportation,Online,Candidate scientist health floor.,164.74,8.24
2024-12-08,Entertainment,Cash,Civil area professional provide site.,326.04,0.0
2024-12-06,Travel,Cash,Science clearly box.,206.25,0.0
2024-12-13,Food,Online,Beat cultural rest decade.,29.13,0.0
2024-12-13,Travel,Online,Lay early which budget current recently against.,318.94,15.95
2024-12-10,Transportation,Cash,Son age must professor PM face.,298.14,0.0
2024-12-01,Entertainment,Online,Image may along.,170.27,8.51
2024-12-26,Subscriptions,Online,Drug half study admit language author.,115.3,5.77
2024-12-04,Entertainment,Cash,Real heart myself.,307.22,15.36
2024-12-07,Transportation,Online,Statement entire happy current term.,300.05,0.0
2024-12-14,Entertainment,Cash,Heart indeed crime production federal.,184.14,9.21
2024-12-20,Bills,Cash,Like event organization tell usually wait take group.,73.83,0.0
2024-12-22,Subscriptions,Cash,Across point difficult sister oil ready including.,470.11,23.51
2024-12-19,Transportation,Cash,Clearly language cup right finish job attack large.,476.29,0.0
2024-12-06,Subscriptions,Cash,Wrong here simple crime there.,400.21,0.0
2024-12-02,Transportation,Online,Value mean trial international.,455.71,0.0
2024-12-13,Food,Cash,Probably within we while protect voice maintain.,157.92,7.9
2024-12-19,Transportation,Cash,Season card break century.,29.23,0.0
2024-12-12,Entertainment,Online,Behind guess here.,229.48,11.47
2024-12-24,Food,Cash,It interview writer same most although chance until.,205.84,0.0
2024-12-03,Travel,Cash,Answer social tree when radio free section.,77.51,3.88
2024-12-28,Entertainment,Cash,Want according answer run begin per.,412.2,20.61
2024-12-04,Groceries,Cash,Dream want save class believe less pay.,360.23,0.0
2024-12-24,Transportation,Cash,Thing marriage project author participant message during.,414.3,20.72
2024-12-20,Entertainment,Online,Unit issue table plan senior similar score.,327.17,0.0
2024-12-21,Subscriptions,Cash,Either hospital yourself want his.,497.94,0.0
2024-12-05,Transportation,Online,Prepare play store determine have public.,74.75,0.0
2024-12-19,Subscriptions,Online,Week first player by easy lead make everybody.,391.62,19.58
2024-12-07,Subscriptions,Cash,When share political give return where.,154.04,0.0
2024-12-13,Entertainment,Cash,Reality fly bar direction.,486.93,0.0
2024-12-09,Groceries,Online,Too campaign customer town doctor.,300.18,15.01
2024-12-08,Travel,Cash,Image bring performance north reduce.,15.16,0.0
2024-12-08,Subscriptions,Online,Thousand wish ball moment second indeed approach.,405.75,0.0
2024-12-04,Bills,Online,Television picture number ability build onto small.,430.79,0.0
2024-12-09,Food,Online,Enjoy focus foot scene make resource.,149.53,0.0
2024-12-20,Bills,Online,Sign since expect probably I.,163.04,0.0
2024-12-20,Travel,Cash,Coach maybe baby expect.,384.89,0.0
2024-12-04,Transportation,Cash,Expert then government action industry.,309.84,0.0
2024-12-19,Subscriptions,Cash,Fly dinner property organization.,190.78,0.0
2024-12-22,Bills,Online,People protect soldier front improve social that.,461.73,0.0
2024-12-21,Entertainment,Cash,Executive table trouble decision keep value time improve.,393.54,19.68
2024-12-26,Food,Online,Most to card attorney live guess current.,202.95,10.15
2024-12-23,Transportation,Online,Of garden against shoulder.,92.11,4.61
2024-12-28,Travel,Cash,Difficult four contain community.,70.59,3.53
2024-12-20,Groceries,Cash,Head consider believe industry imagine boy her.,20.37,0.0
2024-12-08,Groceries,Online,Break wind decision maintain institution soldier.,399.2,19.96
2024-12-10,Bills,Cash,Agent wide month thousand trip become.,212.8,0.0
2024-12-25,Bills,Online,Investment cause garden.,417.7,20.89
2024-12-22,Transportation,Online,Speak degree number heavy.,368.24,0.0
2024-12-13,Travel,Online,Daughter picture boy forward may.,446.14,0.0
2024-12-23,Food,Online,Investment hundred friend sometimes three value.,132.67,0.0
2024-12-09,Entertainment,Cash,Increase political subject because.,476.0,0.0
2024-12-08,Groceries,Cash,Every structure leave common citizen note guess.,215.73,0.0
2024-12-24,Food,Online,Its woman their bed grow.,475.81,0.0
2024-12-11,Transportation,Cash,Group thought mother improve reach education boy.,274.66,0.0
2024-12-02,Transportation,Cash,Soon capital clearly sport instead such another hair.,79.75,3.99
2024-12-24,Food,Cash,Provide as natural property.,219.02,0.0
2024-12-22,Bills,Cash,Evidence everybody since recognize more perhaps wait.,390.2,19.51
2024-12-09,Bills,Online,Still minute six laugh.,412.69,0.0
2024-12-03,Bills,Cash,Each life resource final listen travel pattern.,65.61,0.0
2024-12-24,Groceries,Cash,Room if risk middle campaign forward.,94.39,4.72
2024-12-16,Groceries,Cash,Determine word develop small.,120.05,0.0
2024-12-06,Subscriptions,Cash,Hotel price member card election message.,267.01,0.0
2024-12-15,Subscriptions,Cash,Candidate perform law hand body study open thousand.,309.86,0.0
2024-12-28,Food,Cash,Put avoid director do.,195.47,0.0
2024-12-17,Bills,Cash,Anyone Congress business side when collection whose right.,311.04,15.55
2024-12-07,Subscriptions,Cash,Subject yet any appear age.,90.02,4.5
2024-12-07,Bills,Cash,Fight not treat whether upon.,276.34,13.82
2024-12-12,Bills,Cash,Turn Congress this court good.,75.78,0.0
2024-12-09,Food,Cash,Option office employee think consider debate.,289.94,0.0
2024-12-28,Transportation,Cash,Wife beautiful responsibility a leg education far.,69.89,0.0
2024-12-23,Bills,Cash,Prepare draw join hit.,484.98,0.0
