Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-02-20,Subscriptions,Cash,Them decide keep look strategy continue near.,123.82,0.0
2024-02-19,Entertainment,Cash,Method size part south participant stock team.,488.96,24.45
2024-02-17,Food,Online,Growth million fire simply partner purpose remember.,322.31,0.0
2024-02-23,Groceries,Cash,Politics director class task candidate next candidate.,335.23,0.0
2024-02-12,Food,Cash,Again story also media enter.,113.46,0.0
2024-02-08,Entertainment,Cash,Practice significant car produce tell development arrive.,257.7,0.0
2024-02-15,Transportation,Online,Type exist only but choice human west.,276.89,0.0
2024-02-11,Travel,Cash,Institution detail once close.,312.61,15.63
2024-02-08,Food,Online,Degree fly can study again well stand.,377.01,0.0
2024-02-05,Travel,Online,Age sense game car plant.,238.54,0.0
2024-02-12,Bills,Online,Local worry hit begin security financial.,270.92,13.55
2024-02-23,Food,Online,Necessary both hold use.,140.27,7.01
2024-02-21,Subscriptions,Cash,Red she fear.,252.93,12.65
2024-02-12,Entertainment,Cash,Property prevent concern prepare.,456.01,0.0
2024-02-07,Travel,Online,Bar daughter number particular about baby.,434.57,0.0
2024-02-21,Groceries,Online,Risk recognize child human.,289.65,0.0
2024-02-04,Entertainment,Online,Once per today draw baby call.,55.53,2.78
2024-02-19,Bills,Cash,Director same thank federal ever tonight.,339.04,0.0
2024-02-08,Bills,Cash,North marriage hold big individual plan side indicate.,319.24,15.96
2024-02-17,Food,Cash,Feeling majority describe loss imagine close there.,233.03,0.0
2024-02-03,Subscriptions,Cash,Condition new reason politics feel production.,389.57,0.0
2024-02-27,Food,Cash,Reason fill sound defense.,170.12,8.51
2024-02-03,Entertainment,Cash,Reduce care world value PM collection.,375.18,18.76
2024-02-15,Entertainment,Cash,Impact last even their tough investment.,151.22,0.0
2024-02-21,Bills,Online,Set skin share strategy piece.,351.91,17.6
2024-02-13,Transportation,Cash,Dinner society together parent challenge sister PM.,221.23,11.06
2024-02-01,Food,Online,Thus apply share arrive third than.,298.94,0.0
2024-02-26,Transportation,Cash,Page country far indeed lead either happen.,428.25,21.41
2024-02-08,Transportation,Online,Represent agent thank study.,109.65,0.0
2024-02-07,Subscriptions,Online,Rise agent wind me know.,175.15,8.76
2024-02-12,Transportation,Online,Baby light voice film start detail play or.,363.41,0.0
2024-02-13,Subscriptions,Cash,Animal leader hard.,291.44,14.57
2024-02-21,Travel,Online,Dream attack budget a near sense really.,154.42,7.72
2024-02-03,Entertainment,Online,Truth spend base game public.,217.4,10.87
2024-02-12,Entertainment,Cash,Seven high economic office.,499.9,0.0
2024-02-12,Bills,Cash,Worry artist student remember.,107.22,5.36
2024-02-17,Subscriptions,Online,Day hit he want.,448.0,22.4
2024-02-22,Travel,Cash,Instead property government allow well only.,59.56,0.0
2024-02-03,Groceries,Online,Rest wall name pretty.,13.57,0.68
2024-02-10,Groceries,Cash,Around will themselves very.,365.19,18.26
2024-02-28,Subscriptions,Online,Stop six show ever.,182.88,0.0
2024-02-11,Travel,Online,Dinner open cover establish garden.,70.49,0.0
2024-02-06,Groceries,Cash,Total place vote against follow expert focus less.,401.12,0.0
2024-02-02,Subscriptions,Online,Project care rise other during science story.,203.02,10.15
2024-02-01,Transportation,Online,Join card letter member.,406.64,20.33
2024-02-24,Subscriptions,Online,Month produce instead myself hold.,326.09,16.3
2024-02-12,Groceries,Online,And agency rather decade region.,42.35,2.12
2024-02-19,Groceries,Online,Character daughter talk live.,466.34,0.0
2024-02-15,Travel,Online,Theory answer edge decision not attention.,74.47,3.72
2024-02-25,Food,Cash,Trial star into.,73.58,3.68
2024-02-22,Travel,Cash,Agency experience occur base.,446.98,0.0
2024-02-02,Groceries,Cash,End table become your consider approach way.,386.85,0.0
2024-02-03,Subscriptions,Online,Without every beautiful speech happen now human.,187.6,0.0
2024-02-16,Subscriptions,Online,Want we enjoy study structure election.,308.49,15.42
2024-02-21,Food,Online,Morning provide worker.,235.68,11.78
2024-02-16,Travel,Cash,Look follow what skill seven would continue.,360.29,0.0
2024-02-13,Travel,Online,Weight forward low security.,199.48,9.97
2024-02-05,Groceries,Online,Example science way.,382.76,0.0
2024-02-10,Subscriptions,Online,Wind about attack just will.,447.93,0.0
2024-02-20,Subscriptions,Cash,Good indicate front.,68.94,0.0
2024-02-11,Bills,Cash,Girl various important page.,122.41,6.12
2024-02-04,Subscriptions,Cash,Between teacher room common by administration.,470.96,0.0
2024-02-05,Entertainment,Online,The song commercial happy blood.,327.18,16.36
2024-02-14,Food,Online,Option movement speak his.,134.61,0.0
2024-02-03,Transportation,Online,Day responsibility ask would.,11.83,0.0
2024-02-06,Travel,Cash,Tell recent business.,50.08,0.0
2024-02-06,Bills,Online,Friend air forget check physical arrive feeling list.,15.85,0.0
2024-02-15,Bills,Online,Head management behind road.,469.08,23.45
2024-02-17,Entertainment,Cash,Understand born risk process interview hotel generation direction.,174.58,8.73
2024-02-04,Groceries,Cash,Against police catch give.,62.51,3.13
2024-02-27,Subscriptions,Cash,Common source pattern base home training.,254.94,0.0
2024-02-27,Transportation,Online,Air someone away stand discuss.,345.32,0.0
2024-02-27,Subscriptions,Cash,Adult herself talk couple leader then total.,422.99,0.0
2024-02-03,Food,Cash,Week exactly easy laugh type.,139.32,6.97
2024-02-18,Subscriptions,Online,Special thousand whose evening article away safe.,453.58,0.0
2024-02-04,Transportation,Cash,Appear long effort professor.,453.21,22.66
2024-02-13,Groceries,Cash,Environmental idea save environmental wait member five.,159.67,0.0
2024-02-05,Food,Cash,Number say memory issue event perhaps sometimes tree.,145.57,0.0
2024-02-11,Travel,Online,Training everything quality organization bed action church.,159.42,0.0
2024-02-12,Subscriptions,Online,Drop same east police.,284.09,14.2
2024-02-09,Entertainment,Cash,Response act keep summer.,439.98,0.0
2024-02-08,Bills,Online,Politics program trial turn.,459.48,0.0
2024-02-01,Food,Online,There seek court condition could look.,18.43,0.92
2024-02-22,Subscriptions,Online,Effect cold responsibility follow during room front.,496.85,0.0
2024-02-09,Bills,Online,Attorney reach management another message.,399.14,0.0
2024-02-28,Transportation,Cash,Our spring physical threat network design.,424.25,0.0
2024-02-02,Subscriptions,Cash,Commercial month them.,150.77,0.0
2024-02-23,Transportation,Cash,Defense great treatment or friend fast.,228.35,0.0
2024-02-24,Travel,Cash,Color part simple instead thus whose.,318.01,0.0
2024-02-12,Bills,Cash,Avoid left debate tonight my up teacher.,489.1,0.0
2024-02-01,Entertainment,Cash,Yes some continue be speech.,242.39,0.0
2024-02-24,Travel,Cash,Nor while song water Democrat land.,267.02,0.0
2024-02-17,Entertainment,Online,Science wide eye face name.,418.36,0.0
2024-02-09,Groceries,Online,Base design oil up after.,394.98,19.75
2024-02-20,Bills,Online,With pull hair start least financial remember.,274.67,0.0
2024-02-02,Subscriptions,Cash,By control camera ask.,309.44,0.0
2024-02-26,Subscriptions,Cash,Leader authority responsibility though find.,294.38,0.0
2024-02-02,Subscriptions,Cash,Walk probably exactly relationship.,22.72,1.14
2024-02-16,Transportation,Online,What majority agree.,334.14,16.71
2024-02-20,Groceries,Online,Sound question scientist else stop I.,322.43,0.0
