Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-05-18,Entertainment,Online,Add friend four management such business threat.,357.97,17.9
2024-05-03,Food,Cash,Much specific could crime.,298.23,0.0
2024-05-09,Transportation,Cash,Home oil then race.,391.88,19.59
2024-05-10,Food,Cash,Old young three local back discussion.,394.05,19.7
2024-05-16,Entertainment,Cash,Team all guy this live family modern bed.,63.22,0.0
2024-05-23,Groceries,Online,Agreement second happy common federal southern increase.,52.05,2.6
2024-05-10,Travel,Online,Carry under key year responsibility former eat.,355.95,17.8
2024-05-08,Travel,Online,Attorney enjoy view soldier remember.,150.34,7.52
2024-05-03,Bills,Cash,Husband loss cost open fast.,23.47,0.0
2024-05-22,Bills,Cash,Provide plant family natural.,226.73,0.0
2024-05-17,Subscriptions,Cash,Ten understand see outside customer along.,271.48,0.0
2024-05-25,Entertainment,Cash,Just amount team kind window strategy size.,302.31,0.0
2024-05-25,Subscriptions,Online,Soldier rich we.,222.55,11.13
2024-05-23,Groceries,Online,Town staff exist final write sell.,293.19,14.66
2024-05-04,Bills,Online,Book meeting response difference range operation.,165.91,0.0
2024-05-07,Entertainment,Online,Appear themselves part ability support.,318.45,15.92
2024-05-09,Subscriptions,Cash,Take training training scientist too who.,270.95,0.0
2024-05-27,Food,Cash,Thought unit black.,215.12,0.0
2024-05-12,Food,Cash,Surface blood plan travel know.,465.71,0.0
2024-05-16,Entertainment,Cash,Relationship another operation Democrat.,266.2,0.0
2024-05-10,Travel,Online,Imagine work international change country base service.,73.7,3.69
2024-05-15,Travel,Online,Food through clearly capital even.,178.28,0.0
2024-05-23,Entertainment,Online,Machine federal walk either doctor.,499.97,25.0
2024-05-25,Travel,Cash,Business media staff available.,314.32,0.0
2024-05-23,Travel,Online,Film fall light wide American performance.,36.77,1.84
2024-05-07,Entertainment,Online,Affect local prevent star camera suggest professional against.,360.92,0.0
2024-05-08,Subscriptions,Cash,Environment control make.,486.92,0.0
2024-05-17,Entertainment,Online,Dog though result citizen the produce.,400.47,20.02
2024-05-08,Food,Cash,Against area certain listen any arm two.,51.8,0.0
2024-05-25,Bills,Online,Environment worry agent glass him decide.,451.61,22.58
2024-05-27,Food,Online,Second their fill newspaper different manage create.,146.44,0.0
2024-05-20,Transportation,Online,Future also morning character culture.,137.27,0.0
2024-05-27,Bills,Online,Large could population few remember trouble agent.,385.76,0.0
2024-05-05,Food,Cash,Camera order spring provide miss activity.,222.76,11.14
2024-05-22,Subscriptions,Cash,Then foot pass health back like well.,353.79,0.0
2024-05-28,Groceries,Online,Ok much more.,267.35,0.0
2024-05-20,Entertainment,Online,Five story door source yourself and will.,277.93,13.9
2024-05-15,Food,Online,Could wonder voice another space.,30.12,1.51
2024-05-04,Subscriptions,Online,Help worry half share first.,439.66,0.0
2024-05-08,Entertainment,Cash,Program gun stand data.,420.65,0.0
2024-05-17,Bills,Cash,According however wall kitchen help truth plant.,89.03,0.0
2024-05-03,Subscriptions,Online,After item voice month police.,10.64,0.53
2024-05-13,Bills,Online,Same better Mr discuss arrive real.,327.73,0.0
2024-05-04,Subscriptions,Cash,Leave pay career officer decision.,335.75,0.0
2024-05-01,Bills,Online,Dinner physical some whether.,395.29,19.76
2024-05-15,Travel,Online,Position scientist expect focus feeling pick listen garden.,339.32,0.0
2024-05-19,Entertainment,Online,Be see Mr treatment want our.,76.09,0.0
2024-05-02,Bills,Online,Under we central live.,88.08,0.0
2024-05-14,Travel,Cash,Dinner race school note wish prepare.,490.76,0.0
2024-05-21,Transportation,Cash,Through officer rather nor.,201.39,0.0
2024-05-28,Transportation,Online,School break dream significant bad practice out.,130.66,0.0
2024-05-14,Entertainment,Cash,Mother fight visit open mention stop recently discussion.,272.87,0.0
2024-05-22,Bills,Cash,Now off important forget.,84.42,4.22
2024-05-10,Travel,Cash,Feel why book hot sure rule.,120.67,6.03
2024-05-21,Subscriptions,Online,Research people recent inside.,51.42,0.0
2024-05-07,Bills,Cash,Door president American speak this voice significant believe.,333.97,0.0
2024-05-25,Travel,Cash,Join maintain direction also mouth yet.,468.79,23.44
2024-05-22,Travel,Online,Memory itself magazine hard discover ten star.,41.09,2.05
2024-05-28,Travel,Online,Strategy skin compare pull can surface total.,449.88,22.49
2024-05-15,Food,Cash,Also sing necessary.,15.64,0.78
2024-05-16,Groceries,Cash,Since let behind executive.,55.83,0.0
2024-05-12,Travel,Online,Near I in dark street.,195.43,9.77
2024-05-11,Bills,Cash,Page building way generation.,391.27,0.0
2024-05-08,Travel,Cash,We child or.,103.99,5.2
2024-05-09,Groceries,Online,Ten place before hold.,136.43,0.0
2024-05-05,Food,Online,Subject though often.,117.73,5.89
2024-05-19,Entertainment,Online,Former front strong remember fly.,438.88,21.94
