Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-04-07,Transportation,Online,Fly couple natural your end.,158.8,7.94
2024-04-13,Bills,Online,Well issue lead amount ready stage toward.,71.32,0.0
2024-04-12,Entertainment,Online,Phone attorney factor bar.,28.32,1.42
2024-04-20,Food,Online,Not never respond page.,336.83,0.0
2024-04-08,Bills,Online,Right dog important church reason task debate.,267.48,0.0
2024-04-09,Travel,Cash,Budget pay huge product whose.,489.74,0.0
2024-04-27,Food,Cash,Four true among majority.,73.65,0.0
2024-04-07,Bills,Cash,These beat laugh health television paper.,21.22,0.0
2024-04-16,Subscriptions,Online,Big husband room must.,471.35,23.57
2024-04-24,Entertainment,Cash,Eight huge break.,355.49,0.0
2024-04-16,Transportation,Cash,Consider best position painting which authority truth.,78.09,0.0
2024-04-16,Food,Cash,Result no physical born evidence blood.,13.12,0.0
2024-04-13,Transportation,Online,Color news time organization than wrong billion you.,36.46,0.0
2024-04-24,Groceries,Cash,Cup hold into building.,44.9,0.0
2024-04-21,Food,Cash,Behind small consider watch little onto part available.,85.15,0.0
2024-04-22,Food,Online,Themselves company man hit rate arrive.,449.06,0.0
2024-04-27,Entertainment,Cash,After organization bring model huge argue.,59.28,0.0
2024-04-07,Food,Online,Fact before center direction than find.,212.44,0.0
2024-04-01,Entertainment,Cash,Military me often music respond hospital.,438.5,0.0
2024-04-20,Bills,Online,Suffer grow against parent popular character.,40.65,0.0
2024-04-07,Food,Online,Leg score morning.,179.6,8.98
2024-04-15,Bills,Cash,Civil white serve particularly industry begin staff.,284.39,0.0
2024-04-04,Subscriptions,Online,Budget whole Mr still rate need huge generation.,269.04,0.0
2024-04-22,Travel,Online,Conference else produce teacher.,79.49,0.0
2024-04-16,Food,Online,Explain bit son pass property.,403.61,0.0
2024-04-02,Travel,Cash,Behind black sign.,46.44,2.32
2024-04-21,Food,Online,Husband represent nor research truth member.,44.58,2.23
2024-04-06,Food,Online,Usually less production back official detail cultural but.,42.64,0.0
2024-04-23,Entertainment,Online,Kitchen assume organization amount about never.,287.39,0.0
2024-04-10,Transportation,Online,When know clear among.,319.76,0.0
2024-04-19,Groceries,Cash,Water serve may.,443.05,0.0
2024-04-15,Groceries,Online,Community song suddenly standard notice film.,350.84,0.0
2024-04-11,Food,Online,Recently suffer laugh early.,88.18,4.41
2024-04-04,Travel,Online,Writer lead free so share.,116.2,5.81
2024-04-02,Food,Online,Doctor commercial machine may item walk table.,308.23,15.41
2024-04-20,Bills,Cash,Use task form husband ask.,13.16,0.0
2024-04-07,Transportation,Cash,Subject several through performance American everyone budget.,28.26,1.41
2024-04-07,Food,Cash,Leave various few receive dark.,80.76,0.0
2024-04-07,Travel,Cash,Under attention wind individual.,419.79,0.0
2024-04-09,Food,Online,Need year manage administration kid cost exist.,316.73,0.0
2024-04-09,Entertainment,Cash,Quickly who current choice degree third.,88.7,0.0
2024-04-23,Groceries,Online,Take hope provide south institution lot.,131.45,0.0
2024-04-22,Food,Online,Money score close later type.,430.22,0.0
2024-04-10,Transportation,Cash,Plan wide your much start explain.,46.38,2.32
2024-04-05,Travel,Cash,Anyone tax individual or month worker.,402.04,0.0
2024-04-12,Groceries,Cash,Play number sometimes accept commercial product subject.,222.67,0.0
2024-04-27,Travel,Cash,Condition despite poor mouth.,409.67,0.0
2024-04-13,Entertainment,Cash,Eat page fear small.,95.94,4.8
2024-04-19,Food,Cash,Nice grow charge scene material.,151.48,0.0
2024-04-13,Entertainment,Cash,Clearly mean before on.,295.39,0.0
2024-04-14,Bills,Online,Four around window his.,309.24,0.0
2024-04-14,Subscriptions,Online,Exist rule task.,105.81,0.0
2024-04-08,Transportation,Cash,Arrive situation region piece professional door.,86.08,0.0
2024-04-20,Groceries,Cash,Wish arm old stay.,477.18,0.0
2024-04-23,Travel,Online,Who though step and.,250.46,0.0
2024-04-20,Subscriptions,Cash,Store low of or probably heavy.,296.55,0.0
2024-04-28,Subscriptions,Cash,Current anyone growth positive bring require and than.,476.98,0.0
2024-04-02,Bills,Online,Season service evidence story.,172.84,8.64
2024-04-12,Bills,Cash,Small character mention board room lot with.,195.29,9.76
2024-04-07,Food,Cash,Him history beautiful then.,413.71,20.69
2024-04-19,Groceries,Online,Entire tend court character process citizen bill.,81.6,4.08
2024-04-03,Subscriptions,Online,How player threat structure marriage institution her.,144.46,0.0
2024-04-04,Travel,Cash,To see though least leave gun she.,283.48,14.17
2024-04-12,Transportation,Online,Late available include popular art rule deep news.,375.11,0.0
2024-04-25,Transportation,Online,Look ask discover character high.,185.06,0.0
2024-04-08,Subscriptions,Online,Back different deep.,13.83,0.0
2024-04-24,Bills,Online,Until book free only they improve.,327.11,16.36
