Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-01-04,Travel,Online,Person southern teacher kitchen especially always less.,206.05,10.3
2024-01-14,Food,Online,Voice financial economic tree.,440.65,0.0
2024-01-07,Transportation,Online,Also production pull.,57.0,0.0
2024-01-17,Subscriptions,Online,Probably of word general.,470.61,0.0
2024-01-14,Entertainment,Online,Between somebody safe it ready believe scientist garden.,251.62,0.0
2024-01-12,Groceries,Cash,Speech knowledge little hand lot time.,232.81,0.0
2024-01-08,Groceries,Online,Again painting whom ground.,77.69,0.0
2024-01-20,Subscriptions,Online,Think dinner do raise simple.,321.79,0.0
2024-01-18,Transportation,Cash,Defense town according someone section.,151.54,0.0
2024-01-11,Food,Cash,Prepare suddenly political past pay common easy.,178.02,8.9
2024-01-14,Food,Online,Upon need him both discuss way property feel.,232.5,0.0
2024-01-22,Food,Online,Check hear among budget all section.,447.95,0.0
2024-01-02,Travel,Cash,Use create should evening wear Mr.,497.46,0.0
2024-01-03,Entertainment,Online,Field behavior could well west college.,154.31,0.0
2024-01-13,Transportation,Online,Base myself produce we notice voice.,405.64,20.28
2024-01-22,Food,Cash,Cost billion travel hard school girl similar.,399.82,0.0
2024-01-14,Entertainment,Online,Heavy parent local best under understand project.,13.68,0.68
2024-01-22,Travel,Cash,Develop reach under less.,468.42,0.0
2024-01-02,Entertainment,Online,Cup good military community political thought home.,211.37,0.0
2024-01-22,Groceries,Cash,Consumer offer worker simple note.,167.08,0.0
2024-01-15,Groceries,Cash,Different today number hard.,411.13,20.56
2024-01-17,Transportation,Online,Task group American watch fly.,125.2,0.0
2024-01-20,Groceries,Online,Actually month item.,378.47,18.92
2024-01-23,Subscriptions,Online,Soldier finally measure better without cell.,364.17,0.0
2024-01-23,Entertainment,Cash,Security quickly become up pay Congress.,196.76,0.0
2024-01-01,Entertainment,Online,Find parent nor write street over hand enough.,469.91,0.0
2024-01-10,Groceries,Cash,Ready bit stop drug eat heart include.,392.43,19.62
2024-01-06,Subscriptions,Online,More pay seven throw out.,48.72,0.0
2024-01-19,Subscriptions,Online,Political west firm dark law.,400.85,0.0
2024-01-02,Food,Online,Factor throw partner shake front development.,190.38,0.0
2024-01-10,Groceries,Online,Fund address music language.,275.06,0.0
2024-01-20,Transportation,Cash,Officer others almost level painting sell generation.,307.56,0.0
2024-01-25,Travel,Cash,Score right new manage policy spend available.,35.67,1.78
2024-01-06,Transportation,Cash,Approach act down free until.,454.32,0.0
2024-01-19,Food,Cash,Sport beautiful citizen prevent federal ever financial.,394.49,0.0
2024-01-24,Entertainment,Online,Maintain under type card inside employee.,371.47,0.0
2024-01-06,Transportation,Online,Morning firm police indeed.,104.23,5.21
2024-01-09,Entertainment,Online,Media mother stage threat culture.,284.33,0.0
2024-01-03,Bills,Cash,Away community physical assume then much stay able.,337.35,0.0
2024-01-25,Transportation,Cash,Option series team possible.,339.49,0.0
2024-01-06,Groceries,Cash,Line capital see entire blood everything various.,127.49,6.37
2024-01-08,Entertainment,Online,Technology can woman place.,453.02,0.0
2024-01-06,Groceries,Cash,Second per group fall food benefit.,410.57,0.0
2024-01-27,Food,Cash,On some thought moment.,468.06,0.0
2024-01-15,Bills,Online,Computer course mother as still health.,211.89,0.0
2024-01-10,Bills,Online,Than loss president head painting environment commercial.,371.23,0.0
2024-01-04,Travel,Online,Turn during ask marriage room win left.,235.86,0.0
2024-01-18,Travel,Cash,Finish to really.,239.64,0.0
2024-01-26,Travel,Online,Bring owner few gas quality hundred.,82.91,0.0
2024-01-17,Subscriptions,Online,Give paper explain personal local else.,82.92,4.15
2024-01-25,Subscriptions,Online,Choice same near.,343.56,0.0
2024-01-07,Travel,Online,May activity include claim.,384.13,0.0
2024-01-18,Entertainment,Online,Black police than federal be however.,144.75,0.0
2024-01-12,Transportation,Cash,Person wind social draw war top.,124.92,0.0
2024-01-03,Entertainment,Online,Exist bring young.,468.94,23.45
2024-01-08,Transportation,Online,Better father weight sound nearly.,409.41,0.0
2024-01-01,Food,Cash,Popular himself kind board.,298.67,0.0
2024-01-02,Groceries,Cash,Front half age continue.,485.62,0.0
2024-01-21,Groceries,Online,Word class tonight focus.,422.17,0.0
2024-01-10,Subscriptions,Cash,Though movement suggest close.,316.36,15.82
2024-01-13,Entertainment,Online,Address here tonight plan place.,111.96,0.0
2024-01-01,Entertainment,Cash,Public more number success.,420.41,0.0
2024-01-21,Transportation,Cash,True born through.,386.25,0.0
2024-01-07,Food,Cash,Sometimes agent lot issue.,75.68,0.0
2024-01-04,Entertainment,Online,Deep goal this face forget.,335.11,0.0
2024-01-02,Transportation,Online,Listen hundred truth.,185.03,9.25
2024-01-25,Travel,Cash,Design available bank establish film on.,25.57,0.0
2024-01-09,Food,Online,Between major radio number we finally.,77.71,0.0
2024-01-28,Groceries,Cash,Option teach detail direction study.,23.19,0.0
2024-01-19,Food,Online,Father decide use state ok.,462.14,0.0
2024-01-24,Travel,Online,Rule at understand raise role remain.,86.15,0.0
2024-01-09,Food,Online,Short discuss factor trip.,410.09,0.0
2024-01-17,Travel,Online,Southern majority baby conference city.,195.31,0.0
2024-01-27,Subscriptions,Online,Clear else put current edge.,38.47,1.92
2024-01-08,Food,Cash,Lot listen player.,81.0,0.0
2024-01-02,Transportation,Cash,Approach president four spring toward able.,140.87,7.04
2024-01-16,Groceries,Online,Movement one seem important half respond person sign.,413.79,0.0
2024-01-13,Subscriptions,Cash,Past help a drive crime any.,160.36,8.02
2024-01-06,Travel,Online,Green minute argue hear amount market wall.,43.38,2.17
2024-01-15,Subscriptions,Online,Machine tell main site expert.,336.64,0.0
2024-01-25,Entertainment,Cash,Provide truth beautiful participant hotel.,411.16,0.0
2024-01-06,Bills,Online,Oil pay knowledge without player last idea maintain.,129.44,0.0
2024-01-12,Groceries,Cash,Plant student attack work read become action a.,275.18,13.76
2024-01-14,Food,Cash,Smile pull support.,388.69,0.0
2024-01-21,Groceries,Cash,Difficult heart it human action effect ever.,50.28,0.0
2024-01-25,Bills,Cash,Suddenly back strong as return total.,65.12,3.26
2024-01-01,Subscriptions,Online,Start type light situation close notice.,95.23,0.0
2024-01-18,Subscriptions,Online,Find former old eight successful call Mrs.,137.1,6.86
2024-01-21,Transportation,Cash,Price reduce trade program major successful social.,256.74,12.84
2024-01-04,Entertainment,Online,Tree court leg pick.,447.66,0.0
2024-01-17,Food,Cash,Allow far build tell bill meeting.,330.92,16.55
2024-01-05,Bills,Online,Design process age he reason.,151.69,0.0
2024-01-08,Subscriptions,Cash,Could explain choice.,458.07,0.0
2024-01-05,Food,Online,Particular authority three it minute drop.,101.75,5.09
2024-01-15,Food,Cash,Hot former military weight.,299.27,0.0
2024-01-26,Travel,Cash,Somebody experience prevent five box other.,177.96,8.9
2024-01-21,Bills,Cash,Ahead discuss than cup full southern establish apply.,433.37,0.0
2024-01-03,Bills,Cash,Face name none law.,406.9,0.0
2024-01-16,Travel,Cash,Knowledge start term why consumer beyond up.,71.35,0.0
2024-01-19,Groceries,Online,Team whether provide down health tonight well.,318.24,15.91
