Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-10-10,Food,Online,Two can middle usually successful laugh include.,338.15,0.0
2024-10-15,Food,Cash,Trial time recently lead.,417.26,0.0
2024-10-12,Subscriptions,Cash,Contain occur walk last among section certainly.,126.46,0.0
2024-10-09,Groceries,Online,Wear summer least real.,371.93,18.6
2024-10-23,Groceries,Online,Financial floor cold interview then our just.,118.14,0.0
2024-10-14,Bills,Cash,Win me sing fund later bit theory beyond.,404.96,0.0
2024-10-23,Groceries,Cash,Threat really itself manager western be service yard.,373.88,0.0
2024-10-02,Transportation,Cash,All look ago me across.,443.47,0.0
2024-10-25,Transportation,Cash,Less red parent must doctor.,246.44,0.0
2024-10-20,Travel,Cash,Only tell gun against direction.,39.34,0.0
2024-10-10,Transportation,Cash,Tax fear nearly too chair by could society.,185.06,0.0
2024-10-01,Travel,Cash,Worker inside those matter hotel.,430.37,0.0
2024-10-21,Groceries,Cash,Mr attack skill back material.,368.71,18.44
2024-10-21,Subscriptions,Online,Sport thing dark field.,82.92,0.0
2024-10-05,Bills,Online,Play PM change meet wife image majority.,123.58,0.0
2024-10-03,Travel,Online,Senior low network business grow.,450.8,0.0
2024-10-14,Groceries,Online,Scene test share Congress.,387.45,19.37
2024-10-07,Travel,Cash,Role raise without recent.,309.13,15.46
2024-10-05,Entertainment,Online,Ok million many attack.,248.97,12.45
2024-10-28,Groceries,Cash,Production line long article actually.,450.31,0.0
2024-10-10,Subscriptions,Online,Fine from message wish culture actually.,471.1,0.0
2024-10-02,Food,Cash,Get during somebody.,445.97,22.3
2024-10-12,Groceries,Cash,Parent budget have common stand share table.,51.92,0.0
2024-10-22,Entertainment,Online,Improve morning election himself ten.,345.02,0.0
2024-10-05,Bills,Cash,Focus training including down.,442.08,0.0
2024-10-19,Travel,Cash,Father debate resource building.,464.17,23.21
2024-10-28,Entertainment,Cash,Report identify relationship practice degree environment.,26.93,1.35
2024-10-12,Food,Online,Nice this idea foreign writer else walk.,374.37,0.0
2024-10-08,Bills,Cash,Future girl value soon ahead shoulder decision.,215.59,0.0
2024-10-11,Travel,Cash,Difficult take low leave from north need.,437.15,21.86
2024-10-13,Groceries,Online,Available human husband black church cover drive out.,68.03,0.0
2024-10-11,Food,Online,Parent and visit rest.,312.71,0.0
2024-10-16,Travel,Online,Many back care front month member.,381.09,0.0
2024-10-04,Transportation,Online,Police full idea development.,115.4,5.77
2024-10-25,Entertainment,Cash,North guess five building my successful forward.,353.8,0.0
2024-10-09,Food,Online,Sound national agency performance increase clearly four.,425.27,21.26
2024-10-20,Groceries,Online,Challenge approach matter card leg lose.,438.2,0.0
2024-10-17,Entertainment,Cash,Page tree business record cause.,297.07,14.85
2024-10-22,Subscriptions,Online,Share two impact show thank threat.,436.02,0.0
2024-10-02,Subscriptions,Cash,For friend sound professor reach.,32.05,1.6
2024-10-01,Travel,Cash,Expert war bag next learn senior for.,219.98,11.0
2024-10-27,Food,Online,Whole for discover economy.,237.9,11.9
2024-10-08,Travel,Online,Smile group fund you knowledge.,403.2,0.0
2024-10-12,Transportation,Online,In many air piece quickly door.,48.68,0.0
2024-10-26,Subscriptions,Online,Pick would room threat.,450.85,22.54
2024-10-18,Entertainment,Cash,Development low fill poor environmental.,406.11,0.0
2024-10-10,Groceries,Cash,Issue pass matter between without she.,341.53,0.0
2024-10-24,Food,Cash,Huge may others compare again note.,25.96,0.0
2024-10-20,Transportation,Online,People station whose magazine including.,183.68,9.18
2024-10-25,Travel,Online,Simply police statement room ok actually weight.,496.21,24.81
2024-10-14,Groceries,Online,Be woman range.,137.63,0.0
2024-10-17,Travel,Online,Reason face weight thought successful south single.,475.75,0.0
2024-10-27,Travel,Online,Ahead today change onto bad employee.,174.94,0.0
2024-10-05,Bills,Online,Never religious watch particular view others spring.,266.11,0.0
2024-10-08,Food,Online,Prove happen customer certain.,262.59,13.13
2024-10-20,Food,Online,Military try whatever former ahead.,310.98,15.55
2024-10-17,Food,Cash,However agent bar every store entire involve.,205.7,0.0
2024-10-25,Groceries,Online,Pattern color religious wall.,171.25,0.0
2024-10-28,Bills,Cash,Kitchen away poor different.,428.11,21.41
2024-10-19,Transportation,Cash,And democratic understand economic threat.,220.14,11.01
2024-10-23,Subscriptions,Cash,Ball appear test cause number.,159.88,0.0
2024-10-28,Transportation,Online,Agent enough somebody boy light finish.,16.57,0.0
2024-10-28,Groceries,Cash,Item financial form wish clearly difficult.,402.49,0.0
2024-10-18,Food,Online,Outside admit not act.,169.89,0.0
2024-10-01,Food,Cash,System analysis voice cell.,310.86,0.0
2024-10-18,Entertainment,Online,Audience few cell.,140.22,0.0
2024-10-20,Transportation,Cash,Mother leave think dog ready daughter same.,332.52,16.63
