Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-11-22,Food,Cash,Above discussion type stock.,87.0,0.0
2024-11-18,Entertainment,Online,Alone growth modern feeling beyond summer lay.,151.95,0.0
2024-11-14,Groceries,Online,Game white former debate.,136.8,6.84
2024-11-26,Transportation,Cash,Hold assume wait available find east eat.,73.35,0.0
2024-11-13,Entertainment,Cash,Personal war when effect customer charge experience girl.,489.37,0.0
2024-11-28,Food,Online,Toward rich sense hear crime determine teach.,99.69,0.0
2024-11-04,Bills,Online,To against they tough.,395.35,0.0
2024-11-26,Transportation,Online,Suggest score news allow least try campaign.,407.13,0.0
2024-11-03,Subscriptions,Online,Evidence top wait student language.,303.42,0.0
2024-11-19,Bills,Cash,Friend process beat form yeah finish street.,423.77,0.0
2024-11-02,Groceries,Cash,Third often old whether.,202.07,0.0
2024-11-16,Subscriptions,Online,Open fact short feeling fund record yourself.,107.41,0.0
2024-11-27,Groceries,Online,Three not support community student.,188.04,9.4
2024-11-01,Travel,Online,Both where authority final gun.,31.51,0.0
2024-11-19,Transportation,Cash,Which president north radio stop alone race military.,382.77,0.0
2024-11-07,Entertainment,Online,To mention both health big century despite seat.,484.38,24.22
2024-11-19,Travel,Cash,Head exist draw meeting public laugh fast learn.,243.93,12.2
2024-11-20,Groceries,Cash,Seven trial role eat.,280.92,14.05
2024-11-14,Travel,Online,Stop watch must wide eye heavy.,180.57,0.0
2024-11-04,Transportation,Online,Teacher marriage member TV choose brother.,66.84,0.0
2024-11-28,Subscriptions,Online,Everyone scientist low cut surface.,107.85,0.0
2024-11-12,Entertainment,Online,Law red certain turn.,392.03,0.0
2024-11-07,Groceries,Online,Coach drive media.,422.65,0.0
2024-11-07,Subscriptions,Cash,Finish through owner television ready suffer.,185.59,9.28
2024-11-16,Groceries,Online,Test candidate some store peace already.,37.11,1.86
2024-11-08,Food,Cash,Early a little win data ahead camera investment.,362.4,0.0
2024-11-28,Groceries,Online,State present garden black probably scientist.,82.77,4.14
2024-11-19,Food,Online,Drug heart local option old once forget into.,20.08,0.0
2024-11-26,Bills,Cash,Choice general year its job.,57.47,2.87
2024-11-03,Bills,Cash,Foot than notice shake throw up bit.,162.52,0.0
2024-11-24,Food,Cash,Take girl reason name size material my.,63.11,0.0
2024-11-21,Groceries,Online,While sing cell science.,414.58,0.0
2024-11-19,Travel,Online,Behind responsibility where white.,342.19,17.11
2024-11-09,Groceries,Cash,Class none discover.,257.14,0.0
2024-11-02,Transportation,Cash,Machine attention know least capital wide.,334.19,16.71
2024-11-01,Travel,Online,Value seven poor environment poor training your.,287.44,0.0
2024-11-24,Bills,Online,Miss stuff her which.,491.06,0.0
2024-11-09,Travel,Cash,Because pattern leave life live close question.,154.94,7.75
2024-11-23,Subscriptions,Online,What may tell line cut house especially left.,299.94,15.0
2024-11-01,Travel,Cash,Run medical partner senior realize office involve.,67.06,0.0
2024-11-27,Food,Cash,Cold bit fill easy nice amount.,89.67,0.0
2024-11-13,Bills,Cash,Value ten reveal wife.,128.68,0.0
2024-11-11,Food,Cash,Item indicate might true.,345.46,17.27
2024-11-09,Entertainment,Online,Eat her especially establish.,210.85,0.0
2024-11-08,Subscriptions,Cash,Available various stand other.,291.5,0.0
