Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-07-24,Entertainment,Online,Town well city.,57.96,0.0
2024-07-18,Subscriptions,Cash,About eight window one.,276.48,13.82
2024-07-23,Travel,Online,Player gun together strong.,207.66,0.0
2024-07-16,Subscriptions,Online,Response effort pass idea although class account.,251.81,12.59
2024-07-02,Transportation,Online,Information market ask throw employee push.,37.33,1.87
2024-07-22,Transportation,Online,Part look talk own.,105.22,0.0
2024-07-13,Food,Online,Everybody able political indicate memory ten.,266.51,0.0
2024-07-16,Groceries,Online,Activity floor you building in smile.,265.2,0.0
2024-07-11,Transportation,Cash,Reduce whether skin skin simply article.,358.94,17.95
2024-07-12,Food,Online,Religious customer should material impact skin.,15.78,0.79
2024-07-23,Groceries,Online,Message find trouble lay right product.,40.31,2.02
2024-07-03,Transportation,Cash,Loss change necessary enter.,17.4,0.0
2024-07-01,Food,Cash,Green music out store staff.,488.52,0.0
2024-07-10,Groceries,Cash,Across simple eat onto national.,387.24,0.0
2024-07-17,Transportation,Cash,Special father man recognize million soon left individual.,167.84,8.39
2024-07-15,Bills,Cash,Particularly girl firm huge customer.,403.5,0.0
2024-07-24,Transportation,Cash,Fast their each job financial.,51.11,0.0
2024-07-28,Bills,Online,Nice bit push everything.,446.38,0.0
2024-07-14,Subscriptions,Cash,Reason every responsibility pay information benefit.,409.57,0.0
2024-07-22,Transportation,Online,Buy knowledge half protect maintain.,367.6,18.38
2024-07-01,Transportation,Cash,Floor along my line to form set since.,128.31,0.0
2024-07-14,Travel,Online,New enjoy end near.,436.18,0.0
2024-07-26,Transportation,Cash,Ago pay push peace federal.,281.55,14.08
2024-07-28,Bills,Online,Serious miss money.,20.25,0.0
2024-07-17,Subscriptions,Cash,Throw only forward leg ever.,10.22,0.51
2024-07-20,Subscriptions,Online,Top kind song PM short drug.,222.37,11.12
2024-07-26,Subscriptions,Online,Them analysis after.,327.75,16.39
2024-07-24,Transportation,Cash,Wonder happy common wife.,317.55,15.88
2024-07-11,Bills,Online,Between million alone threat if level.,150.74,0.0
2024-07-14,Travel,Online,Page successful of eight.,381.42,19.07
2024-07-22,Travel,Cash,Moment analysis short country.,329.27,16.46
2024-07-24,Groceries,Cash,Create meeting government red base easy available professional.,70.77,0.0
2024-07-11,Bills,Cash,Church matter develop low idea wind level.,209.58,0.0
2024-07-02,Food,Online,However floor which statement offer.,72.0,0.0
2024-07-16,Subscriptions,Online,Scene artist mouth operation.,82.17,0.0
2024-07-04,Entertainment,Online,Water really theory decision too.,265.32,13.27
2024-07-27,Bills,Online,Affect news song cup writer daughter field.,256.64,0.0
2024-07-27,Transportation,Cash,Serve place school stay.,299.37,14.97
2024-07-12,Entertainment,Cash,Election world mission stop grow imagine might.,25.91,0.0
2024-07-14,Entertainment,Online,Lay now century have.,89.68,0.0
2024-07-11,Bills,Cash,Voice poor either.,24.69,0.0
2024-07-05,Travel,Online,Everything me environment star dog well.,28.97,0.0
2024-07-01,Subscriptions,Cash,Again stage situation.,415.77,0.0
2024-07-13,Food,Online,Moment tax home support the.,213.55,10.68
2024-07-07,Groceries,Cash,Real out month explain carry return bad.,30.02,0.0
2024-07-08,Bills,Online,Guess history relationship story certain cut pull.,97.61,4.88
2024-07-15,Entertainment,Online,Two same his force.,264.32,13.22
2024-07-20,Food,Cash,Gas certain if find we.,269.55,0.0
2024-07-16,Entertainment,Cash,Yourself bring eat move election people.,51.18,0.0
2024-07-14,Subscriptions,Cash,Development chance whatever must.,484.55,0.0
2024-07-28,Transportation,Cash,First contain she.,418.31,0.0
2024-07-12,Food,Online,Believe accept recognize goal check.,262.41,0.0
2024-07-04,Transportation,Cash,Law anyone authority condition ask in various.,57.84,0.0
2024-07-13,Transportation,Online,Choose spend body college government clearly score.,19.46,0.0
2024-07-04,Subscriptions,Cash,Issue message law under contain site.,107.4,5.37
2024-07-11,Entertainment,Online,Group relate need certain field lose operation.,324.34,16.22
2024-07-09,Groceries,Cash,Democratic these anyone place read.,28.17,1.41
2024-07-02,Bills,Cash,Friend out example law list point.,345.41,17.27
2024-07-22,Transportation,Cash,Debate out water old agreement note who.,464.29,0.0
2024-07-18,Groceries,Online,Exist between pretty might direction.,74.94,0.0
2024-07-15,Transportation,Online,Ten position father design including.,499.88,0.0
2024-07-16,Transportation,Online,Town deep wrong sound court wrong.,397.52,19.88
2024-07-25,Groceries,Cash,Production modern skill across board cut likely.,320.43,0.0
2024-07-18,Entertainment,Cash,Fish camera safe I interview need of production.,223.12,0.0
2024-07-21,Transportation,Cash,Person instead simple measure no organization car practice.,240.66,0.0
2024-07-11,Food,Online,Mouth fast marriage sure boy.,403.25,0.0
2024-07-22,Subscriptions,Cash,Raise behavior report through remember.,216.71,0.0
2024-07-25,Transportation,Cash,Table husband cell test.,329.24,0.0
2024-07-06,Groceries,Cash,Family others yard month for big.,324.97,0.0
2024-07-21,Food,Cash,Mouth learn measure lawyer event girl.,101.57,0.0
2024-07-04,Subscriptions,Cash,Range team to people scientist occur.,117.12,0.0
2024-07-20,Transportation,Cash,Great better three exist even.,192.2,0.0
2024-07-20,Entertainment,Online,Decision activity day human.,247.22,0.0
2024-07-15,Transportation,Cash,Rather answer drug people go only this expect.,120.61,0.0
2024-07-09,Food,Cash,Do indeed process piece green.,122.02,0.0
2024-07-03,Transportation,Online,Coach bad he boy card upon.,85.64,4.28
2024-07-09,Travel,Cash,Just like bank Republican thing thing tree.,463.27,23.16
2024-07-21,Transportation,Cash,Billion water today.,87.65,4.38
2024-07-24,Food,Cash,Body often sound lawyer.,400.53,0.0
2024-07-16,Transportation,Cash,Start born participant lay Democrat.,45.72,0.0
2024-07-15,Subscriptions,Cash,Environment treatment I probably bar reflect.,12.31,0.62
2024-07-23,Transportation,Cash,Case establish assume all young ready.,465.82,0.0
2024-07-06,Travel,Online,Catch television easy popular capital more.,164.1,0.0
2024-07-25,Food,Cash,Current tell morning least mother.,294.87,0.0
2024-07-23,Travel,Online,Agree do let or tax support population.,301.77,0.0
2024-07-05,Transportation,Cash,Place big identify suffer.,307.54,0.0
2024-07-03,Subscriptions,Online,Because read on analysis room author.,279.23,13.96
2024-07-11,Entertainment,Online,Eight car including through but.,176.04,8.8
2024-07-14,Travel,Online,Employee establish more fire appear mouth.,202.05,0.0
2024-07-14,Transportation,Online,Nearly two anyone network move represent beat entire.,361.66,0.0
2024-07-28,Travel,Cash,Full me guess cultural official.,171.79,0.0
2024-07-04,Bills,Online,Great project her stuff understand.,394.68,0.0
2024-07-14,Food,Online,Western concern join common keep.,401.53,0.0
2024-07-15,Food,Online,Lay drive against after move bad no.,95.36,0.0
2024-07-02,Travel,Cash,Despite husband health bit.,406.25,0.0
2024-07-08,Subscriptions,Online,Draw such treatment commercial.,96.77,0.0
2024-07-11,Transportation,Cash,Worry natural appear provide mind music notice.,453.85,0.0
2024-07-10,Groceries,Online,Everyone carry herself fund despite pretty any.,53.37,2.67
2024-07-11,Transportation,Online,Wonder free if above account that bring.,455.7,0.0
2024-07-13,Subscriptions,Cash,Collection even partner most.,78.09,0.0
